Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Garganacl,83.1,934,rock,none,136.8,177.5,187,4540313,38.5,2496,Mud Shot,Rock Tomb,Rock Blast,6,5,5,50000
Mew,83.1,151,psychic,none,155.5,154.8,166,3996896,27.5,2493,Shadow Claw,Wild Charge,Psyshock,6,5,20,100000
Reshiram,83.1,643,dragon,fire,178.1,142.6,137,3477820,22.5,2493,Dragon Breath,Fusion Flare*,Draco Meteor,12,17,20,100000
Skuntank (Shadow),83.1,435,poison,dark,158,122.7,204,3953754,50,2500,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Uxie,83.1,480,psychic,none,131.6,229.6,157,4744783,46.5,2500,Confusion,Swift,Thunder,3,5,20,100000
Cetitan,83,975,ice,none,153.8,100.1,262,4035354,29.5,2494,Powder Snow,Icicle Spear,Superpower,5,5,3,50000
Flygon (Shadow),83,330,ground,dragon,165.2,141.5,162,3785283,40,2500,Dragon Tail,Sand Tomb,Twister,4,4,5,75000
Amoonguss,82.9,591,grass,poison,142.9,129.4,221,4085363,50,2420,Astonish,Foul Play,Grass Knot,4,5,3,50000
Electivire (Shadow),82.9,466,electric,none,185,128.4,142,3374171,29.5,2500,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Slowbro,82.9,80,water,psychic,146.6,156.2,186,4258939,43,2498,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Decidueye (Hisuian),82.8,724,grass,fighting,164.1,141.5,164,3808339,33.5,2500,Psycho Cut,Energy Ball,Aura Sphere,5,5,3,10000
Flamigo,82.8,973,flying,fighting,178.6,122.9,159,3491200,37,2499,Wing Attack,Upper Hand,Brave Bird,5,7,3,75000
Incineroar,82.8,727,fire,dark,161.5,140.7,170,3864062,31.5,2500,Fire Fang,Brutal Swing,Blast Burn*,6,9,3,10000
Toxicroak,82.8,454,poison,fighting,174.8,120.3,169,3552699,44.5,2498,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Toxicroak (Shadow),82.8,454,poison,fighting,174.8,120.3,169,3552699,44.5,2498,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Dhelmise,82.7,781,ghost,grass,177,144.1,138,3520234,32.5,2497,Shadow Claw,Power Whip,Brutal Swing,7,5,5,50000
Flygon,82.7,330,ground,dragon,165.2,141.5,162,3785283,40,2500,Dragon Tail,Sand Tomb,Twister,4,4,5,75000
Genesect (Chill),82.7,649,bug,steel,181.9,147.2,127,3398909,27,2493,Fury Cutter,X-Scissor,Techno Blast (Chill)*,10,14,20,100000
Gliscor (Shadow),82.7,472,ground,flying,148.8,186.6,151,4194296,39.5,2500,Wing Attack,Sand Tomb,Acrobatics,5,7,5,75000
Torterra,82.7,389,grass,ground,155.1,152.8,170,4028001,33.5,2500,Mud Slap,Frenzy Plant*,Sand Tomb,5,4,3,10000
Golurk,82.6,623,ground,ghost,172.1,127.2,166,3633671,35,2500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Meganium (Shadow),82.6,154,grass,none,143.2,179.9,169,4354660,48.5,2497,Vine Whip,Frenzy Plant*,Earthquake,6,9,3,10000
Morpeko (Full Belly),82.6,877,electric,dark,173.9,114.3,139,2763076,50,2196,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Palkia (Origin),82.6,484,water,dragon,184,146.2,126,3388341,21.5,2500,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Venusaur,82.6,3,grass,poison,157.3,158.1,159,3955892,38,2500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Venusaur (Shadow),82.6,3,grass,poison,157.3,158.1,159,3955892,38,2500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Xerneas,82.6,716,fairy,none,167.9,131.6,167,3690577,24.5,2496,Geomancy*,Close Combat,Moonblast,4,5,20,100000
Palkia,82.5,484,water,dragon,182.6,144.1,129,3395180,23,2493,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Victini,82.5,494,psychic,fire,155.5,154.8,166,3996896,27.5,2493,Confusion,V-Create,Psyshock,3,3,20,100000
Zygarde (50% Forme),82.5,718,dragon,ground,146.5,166.4,173,4217160,26.5,2487,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Blacephalon,82.4,806,fire,ghost,224.2,113.5,109,2773071,27.5,2496,Incinerate,Mind Blown*,Shadow Ball,2,3,20,100000
Ferrothorn,82.4,598,grass,steel,141.1,195.6,160,4416600,47,2497,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Genesect (Douse),82.4,649,bug,steel,181.9,147.2,127,3398909,27,2493,Fury Cutter,X-Scissor,Techno Blast (Douse)*,10,14,20,100000
Heracross,82.4,214,bug,fighting,172.7,140.8,148,3597541,29.5,2492,Fury Cutter,Upper Hand,Rock Tomb,10,13,3,50000
Latios (Shadow),82.4,381,dragon,psychic,180.6,144,131,3406724,24,2485,Dragon Breath,Aura Sphere,Luster Purge*,10,15,20,100000
Conkeldurr,82.3,534,fighting,none,173,121.2,172,3606957,27.5,2500,Force Palm,Dynamic Punch,Brutal Swing*,5,4,5,75000
Dubwool,82.3,832,normal,none,146.2,179,160,4187141,50,2478,Double Kick,Body Slam,Payback,3,5,3,10000
Charizard,82.2,6,fire,flying,171.5,140.6,151,3640809,34,2500,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Dragonite (Shadow),82.2,149,dragon,flying,175.4,139.4,145,3545000,24,2495,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Machamp,82.2,68,fighting,none,174.1,127.3,161,3569589,30,2498,Karate Chop*,Cross Chop,Rock Slide,4,5,3,50000
Ferrothorn (Shadow),82.1,598,grass,steel,141.1,195.6,160,4416600,47,2497,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Gallade,82.1,475,psychic,fighting,175.6,151.6,133,3541430,29.5,2498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Hawlucha,82.1,701,fighting,flying,164.7,138.2,166,3780354,47.5,2498,Low Kick,Flying Press,Aerial Ace,5,6,5,75000
Scizor,82.1,212,bug,steel,177.1,144.6,137,3507755,31,2494,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Wailord,82.1,321,water,none,155.7,84.9,301,3981930,48.5,2492,Rollout,Surf,Return<sup>†</sup>,4,6,1,10000
Raichu (Alolan),82,26,electric,psychic,177.9,138.7,142,3503169,49,2496,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Slowbro (Shadow),82,80,water,psychic,146.6,156.2,186,4258939,43,2498,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Meganium,81.9,154,grass,none,143.2,179.9,169,4354660,48.5,2497,Vine Whip,Frenzy Plant*,Earthquake,6,9,3,10000
Garchomp (Shadow),81.8,445,dragon,ground,169.8,133.3,162,3664965,23,2495,Dragon Tail,Twister,Sand Tomb,4,4,5,75000
Poliwrath (Shadow),81.8,62,water,fighting,148.9,158.5,177,4175005,42,2497,Mud Shot,Icy Wind,Dynamic Punch,5,5,3,50000
Greninja,81.7,658,water,dark,178.8,129.9,150,3483959,39.5,2498,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Scrafty,81.7,560,dark,fighting,146.6,196,148,4254027,49.5,2499,Counter,Foul Play,Upper Hand,7,7,3,50000
Throh,81.7,538,fighting,none,142.2,139.8,221,4390995,43.5,2500,Low Kick,Focus Blast,Body Slam,10,5,5,75000
Charizard (Shadow),81.6,6,fire,flying,171.5,140.6,151,3640809,34,2500,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Vikavolt (Shadow),81.6,738,bug,electric,187.2,123.3,144,3325037,29.5,2498,Volt Switch*,Discharge,X-Scissor,3,3,1,10000
Roserade,81.5,407,grass,poison,183.7,148.8,124,3388821,32,2497,Poison Sting,Weather Ball (Fire)*,Leaf Storm,4,7,3,50000
Altaria,81.4,334,dragon,flying,131.1,181.5,164,3902033,50,2266,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
Avalugg,81.4,713,ice,none,143.9,183.4,164,4328663,29,2495,Ice Fang,Avalanche,Body Slam,8,6,3,50000
Baxcalibur,81.4,998,dragon,ice,175.4,123.4,164,3550894,25.5,2500,Dragon Breath,Glaive Rush*,Avalanche,10,12,5,75000
Snorlax,81.4,143,normal,none,139.1,131.2,245,4470989,28.5,2495,Lick,Body Slam,Superpower,12,14,5,75000
Gengar (Shadow),81.3,94,ghost,poison,199.4,123,127,3114404,33,2496,Shadow Claw,Shadow Punch*,Shadow Ball,5,7,3,50000
Poliwrath,81.3,62,water,fighting,148.9,158.5,177,4175005,42,2497,Mud Shot,Icy Wind,Dynamic Punch,5,5,3,50000
Lurantis,81.2,754,grass,none,162.7,152.8,154,3828817,48,2499,Leafage,Leaf Blade,Superpower,5,5,3,50000
Salamence (Shadow),81.2,373,dragon,flying,185.9,119.8,151,3361091,24,2500,Dragon Tail,Fly,Brutal Swing,4,3,5,75000
Barbaracle,81.1,689,rock,water,156.1,171.8,149,3997799,39,2499,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Clodsire,81.1,980,poison,ground,119.3,139.5,245,4077850,50,2207,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Ursaring (Shadow),81.1,217,normal,none,179.3,118.3,164,3476626,32,2499,Shadow Claw,Swift,Close Combat,5,6,3,50000
Decidueye,81,724,grass,ghost,165.5,149.2,153,3777731,37,2500,Leafage,Frenzy Plant*,Spirit Shackle,6,5,3,10000
Drampa,81,780,normal,dragon,176.9,134,149,3531438,33.5,2499,Dragon Breath,Swift,Dragon Pulse,9,14,5,75000
Lokix,81,920,bug,dark,173.8,131.6,156,3569405,47.5,2494,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Shelgon (Shadow),81,372,dragon,none,157.1,142.9,149,3344610,50,2296,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Thundurus (Incarnate) (Shadow),81,642,electric,flying,189.8,124.7,138,3266915,27.5,2490,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Dialga (Origin),80.9,483,steel,dragon,173.6,149.7,137,3560684,22,2487,Dragon Breath,Roar of Time<sup>†</sup>,Iron Head,17,13,20,100000
Latios,80.9,381,dragon,psychic,178.7,144.6,134,3462530,24,2488,Dragon Breath,Aura Sphere,Luster Purge*,10,15,20,100000
Sandslash (Shadow),80.9,28,ground,none,155.8,157.5,163,4000765,49.5,2499,Sand Attack,Night Slash*,Rock Tomb,9,13,3,50000
Garchomp,80.8,445,dragon,ground,169.8,133.3,162,3664965,23,2495,Dragon Tail,Twister,Sand Tomb,4,4,5,75000
Kingambit,80.8,983,dark,steel,163.6,145.6,160,3812498,25,2500,Metal Sound,Foul Play,Iron Head,5,7,5,75000
Sliggoo,80.8,705,dragon,none,146.2,160.5,154,3613866,50,2303,Dragon Breath,Body Slam,Dragon Pulse,9,14,5,75000
Regirock (Shadow),80.7,377,rock,none,135.4,231.2,145,4538297,30,2483,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Camerupt (Shadow),80.6,323,fire,ground,175.6,126.9,157,3498579,50,2479,Incinerate,Earth Power,Rock Tomb,3,3,3,50000
Centiskorch,80.6,851,fire,bug,166.6,127.2,177,3750744,32,2499,Ember,Lunge,Heat Wave,5,5,5,75000
Noctowl,80.5,164,normal,flying,134.4,143.7,201,3883121,50,2288,Wing Attack,Shadow Ball,Return<sup>†</sup>,7,9,1,10000
Torterra (Shadow),80.5,389,grass,ground,155.1,152.8,170,4028001,33.5,2500,Mud Slap,Frenzy Plant*,Sand Tomb,5,4,3,10000
Toxtricity,80.5,849,electric,poison,181.3,122.5,155,3442304,41,2499,Acid,Wild Charge,Power-Up Punch,6,5,5,75000
Altaria (Shadow),80.4,334,dragon,flying,131.1,181.5,164,3902033,50,2266,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
Magneton (Shadow),80.4,82,electric,steel,184.7,148.3,123,3369634,44,2496,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Overqwil,80.4,904,dark,poison,168.8,137.4,159,3687314,32.5,2495,Poison Sting,Aqua Tail,Shadow Ball,4,6,5,75000
Hariyama,80.3,297,fighting,none,163,97.5,241,3828718,35,2500,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Shelgon,80.3,372,dragon,none,157.1,142.9,149,3344610,50,2296,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Metagross,80.2,376,steel,psychic,171.5,158.4,134,3638776,24,2499,Shadow Claw*,Meteor Mash*,Earthquake,6,9,5,75000
Chesnaught (Shadow),80.1,652,grass,fighting,153.7,164.2,161,4063213,33,2500,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Marshadow,80.1,802,fighting,ghost,180.6,133.5,142,3424219,24,2487,Shadow Claw,Close Combat,Ice Punch,6,5,20,100000
Tyranitar,80.1,248,rock,dark,166.9,142.7,157,3737922,24,2498,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Piloswine,80,221,ice,ground,159.3,125.4,196,3916342,47,2500,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Reshiram (Shadow),80,643,dragon,fire,178.1,142.6,137,3477820,22.5,2493,Dragon Breath,Fusion Flare*,Draco Meteor,12,17,20,100000
Slowbro (Galarian),80,80,poison,psychic,153,139.9,190,4067317,46.5,2495,Confusion,Drain Punch,Sludge Bomb,3,4,3,50000
Tapu Lele,80,786,psychic,fairy,179.8,151.2,126,3426352,26,2482,Astonish,Nature's Madness*,Psyshock,5,4,20,100000
Excadrill (Shadow),79.9,530,ground,steel,184.5,101.8,180,3380431,28,2499,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Gigalith,79.9,526,rock,none,164,154,150,3790163,28.5,2497,Lock On,Superpower,Meteor Beam*,8,12,3,50000
Piloswine (Shadow),79.9,221,ice,ground,159.3,125.4,196,3916342,47,2500,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Torkoal,79.9,324,fire,none,139.5,183.2,157,4011742,50,2366,Ember,Flame Wheel,Overheat,5,7,3,50000
Ceruledge,79.8,937,fire,ghost,175.5,143.9,141,3561055,29,2500,Incinerate,Shadow Ball,Flame Charge,3,3,5,50000
Chesnaught,79.8,652,grass,fighting,153.7,164.2,161,4063213,33,2500,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Dragonite,79.8,149,dragon,flying,175.4,139.4,145,3545000,24,2495,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Samurott (Hisuian),79.8,503,water,dark,169.7,127.7,169,3661806,35.5,2498,Fury Cutter,Sacred Sword,Icy Wind,9,12,3,10000
Scolipede (Shadow),79.8,545,bug,poison,170.3,154.7,139,3662145,46.5,2497,Poison Sting,Aqua Tail,X-Scissor,4,5,1,10000
Glalie,79.7,362,ice,none,148.7,148.7,172,3804904,50,2380,Rollout,Avalanche,Shadow Ball,4,4,3,50000
Snorlax (Shadow),79.7,143,normal,none,139.1,131.2,245,4470989,28.5,2495,Lick,Body Slam,Earthquake,12,22,5,75000
Tyranitar (Shadow),79.7,248,rock,dark,166.9,142.7,157,3737922,24,2498,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Muk (Shadow),79.6,89,poison,none,150,144.6,191,4142335,37,2497,Poison Jab,Dark Pulse,Thunder Punch,8,6,3,50000
Quaquaval,79.6,914,water,fighting,176.3,127.8,156,3516848,30.5,2494,Low Kick,Close Combat,Hydro Cannon*,6,5,3,10000
Arctibax,79.5,997,dragon,ice,158,120.2,186,3530820,50,2365,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Hariyama (Shadow),79.5,297,fighting,none,163,97.5,241,3828718,35,2500,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Ho-Oh,79.5,250,fire,flying,158,167.7,147,3895786,23.5,2481,Incinerate,Brave Bird,Sacred Fire*,3,4,20,100000
Mamoswine,79.3,473,ice,ground,175.8,112.1,180,3547608,27.5,2497,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Vikavolt,79.3,738,bug,electric,187.2,123.3,144,3325037,29.5,2498,Volt Switch*,X-Scissor,Fly,3,3,1,10000
Arcanine (Shadow),79.2,59,fire,none,170.4,132.1,163,3668546,31,2500,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Chimecho,79.2,358,psychic,none,157.1,153.8,164,3962829,50,2500,Astonish,Psyshock,Shadow Ball,4,5,5,75000
Druddigon,79.2,621,dragon,none,169,141,155,3693771,38,2498,Dragon Tail,Night Slash,Rock Tomb,3,5,5,75000
Glalie (Shadow),79.2,362,ice,none,148.7,148.7,172,3804904,50,2380,Rollout,Avalanche,Shadow Ball,4,4,3,50000
Hypno,79.2,97,psychic,none,133.6,174.8,178,4156705,50,2363,Confusion,Shadow Ball,Thunder Punch,4,3,3,50000
Palkia (Shadow),79.2,484,water,dragon,185.1,145.4,124,3338805,23,2495,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Enamorus (Therian),79.1,905,fairy,flying,177.7,149.9,131,3490308,27,2498,Fairy Wind,Mystical Fire,Moonblast,5,7,20,100000
Magneton,79.1,82,electric,steel,184.7,148.3,123,3369634,44,2496,Volt Switch,Discharge,Magnet Bomb,3,3,3,50000
Pidgeot,79.1,18,normal,flying,152.1,142,176,3801427,50,2407,Gust*,Air Cutter*,Brave Bird,3,4,1,10000
Salamence,79.1,373,dragon,flying,185.9,119.8,151,3361091,24,2500,Dragon Tail,Fly,Brutal Swing,4,3,5,75000
Sinistcha,79.1,1013,grass,ghost,171.1,153.2,139,3643425,32,2497,Astonish,Shadow Ball,Energy Ball,5,5,3,50000
Urshifu (Single Strike),79.1,892,fighting,dark,176.5,125.6,158,3504394,24.5,2487,Sucker Punch,Brick Break,Dynamic Punch,6,7,20,100000
Leavanny,79,542,bug,grass,166.7,143.6,156,3735388,41.5,2498,Shadow Claw*,Leaf Blade,X-Scissor,5,5,1,10000
Volcanion,79,721,fire,water,174.7,151.2,134,3539663,24,2488,Incinerate,Scald,Overheat,3,3,20,100000
Avalugg (Hisuian),78.9,713,ice,rock,151.3,172.6,158,4126031,26.5,2499,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Qwilfish (Shadow),78.9,211,water,poison,167.2,128.6,149,3203314,50,2318,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Serperior,78.9,497,grass,none,144.9,182.4,163,4307907,48.5,2500,Vine Whip,Frenzy Plant*,Aerial Ace,6,6,3,10000
Keldeo (Resolute),78.6,647,water,fighting,177.4,134.8,145,3466877,24,2482,Low Kick,Secret Sword*,Aqua Jet,5,5,20,100000
Sandaconda,78.6,844,ground,none,158.1,170.4,146,3931999,36,2498,Mud Slap,Earth Power,Wrap,5,5,3,50000
Gengar,78.5,94,ghost,poison,199.4,123,127,3114404,33,2496,Shadow Claw,Shadow Punch*,Shadow Ball,5,7,3,50000
Kartana,78.5,798,grass,steel,218.4,128.2,102,2857040,25,2500,Fury Cutter,Leaf Blade,Sacred Sword,9,9,20,100000
Metagross (Shadow),78.5,376,steel,psychic,171.5,158.4,134,3638776,24,2499,Shadow Claw*,Meteor Mash*,Earthquake,6,9,5,75000
Pidgeot (Shadow),78.5,18,normal,flying,152.1,142,176,3801427,50,2407,Gust*,Air Cutter*,Brave Bird,3,4,1,10000
Weezing (Shadow),78.5,110,poison,none,155.4,176.2,147,4025295,49,2500,Rollout,Sludge Bomb,Shadow Ball,4,4,3,50000
Genesect,78.4,649,bug,steel,181.9,147.2,127,3398909,27,2493,Fury Cutter,X-Scissor,Techno Blast (Normal)*,10,14,20,100000
Kilowattrel,78.4,941,electric,flying,184,120.2,152,3362341,45.5,2494,Thunder Shock,Acrobatics,Aerial Ace,7,5,1,10000
Dewgong,78.3,87,water,ice,129.4,161.3,186,3883324,50,2245,Ice Shard*,Icy Wind*,Drill Run,5,4,3,50000
Machoke (Shadow),78.3,67,fighting,none,161.3,117.6,172,3264574,50,2296,Karate Chop,Cross Chop*,Dynamic Punch,4,5,3,50000
Rapidash (Galarian),78.3,78,psychic,fairy,173.1,143.6,145,3602748,46,2498,Fairy Wind,Body Slam,Wild Charge*,4,5,3,50000
Xatu (Shadow),78.3,178,psychic,flying,173.9,135.3,149,3506318,50,2474,Peck,Psyshock,Shadow Ball,5,7,3,50000
Deoxys (Defense),78.2,386,psychic,none,130.2,288.2,126,4730043,50,2490,Counter,Psycho Boost,Thunderbolt,6,10,20,100000
Electrode (Shadow),78.2,101,electric,none,158,158,142,3543829,50,2373,Volt Switch,Discharge,Foul Play,3,3,3,50000
Mamoswine (Shadow),78.2,473,ice,ground,175.8,112.1,180,3547608,27.5,2497,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Muk,78.2,89,poison,none,150,144.6,191,4142335,37,2497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Tauros (Aqua),78.2,128,fighting,water,163,158.4,148,3820775,35,2499,Double Kick,Aqua Jet,Trailblaze,4,4,3,50000
Wailord (Shadow),78.1,321,water,none,155.7,84.9,301,3981930,48.5,2492,Rollout,Surf,Hyper Beam,4,7,1,10000
Wyrdeer,78.1,899,normal,psychic,163,123.4,190,3820904,37.5,2496,Confusion,Stomp,Wild Charge,3,4,5,75000
Bruxish,78,779,water,psychic,176,132,152,3532211,48,2499,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Fearow,78,22,normal,flying,165.5,124.4,149,3067489,50,2257,Peck,Drill Peck,Drill Run,5,5,1,10000
Mudsdale,78,750,ground,none,160.8,136.5,177,3885464,31,2500,Mud Slap,Body Slam,Earthquake,4,7,3,50000
Swanna (Shadow),78,581,water,flying,165.5,123.5,164,3353483,50,2361,Gust,Aqua Jet,Fly,3,4,3,50000
Weezing,78,110,poison,none,153.3,177.6,149,4057493,49.5,2495,Rollout,Sludge Bomb,Shadow Ball,4,4,3,50000
Zoroark (Hisuian),78,571,normal,ghost,209.5,112.2,126,2961798,39,2494,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Regieleki,77.9,894,electric,none,193.5,106.2,155,3184640,34.5,2486,Volt Switch,Thunder Cage*,Hyper Beam,3,5,20,100000
Slowking (Galarian),77.9,199,poison,psychic,151.7,152.4,178,4115633,38.5,2500,Acid,Psyshock,Shadow Ball,5,7,3,50000
Kabutops,77.8,141,rock,water,174.6,156,131,3568174,37.5,2497,Fury Cutter*,Aqua Jet,Stone Edge,10,14,5,75000
Rayquaza,77.8,384,dragon,flying,186.5,119.8,147,3284503,23.5,2480,Dragon Tail,Breaking Swipe*,Dragon Ascent*,5,4,20,100000
Scolipede,77.8,545,bug,poison,170.3,154.7,139,3662145,46.5,2497,Poison Sting,Aqua Tail,Megahorn,4,7,1,10000
Dialga,77.7,483,steel,dragon,178.1,142.6,137,3477820,22.5,2493,Dragon Breath,Iron Head,Thunder,13,15,20,100000
Electabuzz (Shadow),77.7,125,electric,none,172.8,142.3,146,3590962,46.5,2494,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Regice (Shadow),77.7,378,ice,none,135.4,231.2,145,4538297,30,2483,Lock On,Blizzard,Thunder*,15,12,20,100000
Swanna,77.7,581,water,flying,165.5,123.5,164,3353483,50,2361,Gust,Aqua Jet,Fly,3,4,3,50000
Tapu Koko,77.7,785,electric,fairy,184.2,138.8,132,3375289,29,2496,Volt Switch,Thunderbolt,Nature's Madness*,4,4,20,100000
Dipplin,77.6,1011,grass,dragon,147.8,166.2,171,4202497,49,2494,Dragon Tail,Seed Bomb,Outrage,4,5,5,75000
Golem (Alolan) (Shadow),77.6,76,rock,electric,160.6,159.1,152,3881936,32.5,2499,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Heatran,77.6,485,fire,steel,168.6,150.8,144,3660400,24.5,2491,Fire Spin,Magma Storm*,Earth Power,4,5,20,100000
Cinderace,77.5,815,fire,none,179.3,130.6,149,3488247,31,2500,Fire Spin,Blast Burn*,Pyro Ball,5,4,3,10000
Lugia (Shadow),77.5,249,psychic,flying,134.9,212.9,160,4595122,24.5,2489,Dragon Tail,Fly,Aeroblast*,4,7,20,100000
Whiscash,77.5,340,water,ground,139.5,131.1,215,3931334,50,2346,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Alomomola,77.4,594,water,none,128.6,122.7,296,4668794,50,2452,Waterfall,Hydro Pump,Blizzard,8,8,5,75000
Delphox,77.4,655,fire,psychic,171.9,149.9,141,3633571,30.5,2500,Fire Spin,Psyshock,Blast Burn*,4,5,3,10000
Magmar,77.4,126,fire,none,174.4,140.3,146,3572144,48,2496,Karate Chop,Fire Punch,Scorching Sands,5,6,5,75000
Orbeetle,77.4,826,bug,psychic,142.9,214.3,142,4346565,50,2491,Confusion,Psyshock,Bug Buzz,3,5,1,10000
Relicanth,77.4,369,water,rock,134.9,176.4,194,4616800,44.5,2497,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Solgaleo,77.4,791,psychic,steel,166.6,130.7,172,3744360,23,2499,Fire Spin,Psychic Fangs,Iron Head,4,5,20,100000
Delphox (Shadow),77.3,655,fire,psychic,171.9,149.9,141,3633571,30.5,2500,Fire Spin,Psyshock,Blast Burn*,4,5,3,10000
Donphan,77.3,232,ground,none,160.8,147.6,163,3868258,31,2494,Mud Slap,Body Slam,Earthquake,4,7,3,50000
Ursaring,77.3,217,normal,none,179.3,118.3,164,3476626,32,2499,Shadow Claw,Swift,Close Combat,5,6,3,50000
Xatu,77.3,178,psychic,flying,173.9,135.3,149,3506318,50,2474,Peck,Psyshock,Shadow Ball,5,7,3,50000
Meloetta (Aria),77.2,648,normal,psychic,164.7,150.2,151,3735910,22.5,2484,Confusion,Psyshock,Dazzling Gleam,3,4,20,100000
Mr. Mime,77.2,122,psychic,fairy,173.4,183.5,113,3595651,49.5,2498,Psywave,Shadow Ball,Psychic,13,14,5,75000
Dialga (Shadow),77.1,483,steel,dragon,178.7,140.7,136,3418525,22.5,2479,Dragon Breath,Iron Head,Thunder,13,15,20,100000
Escavalier,77.1,589,bug,steel,170.9,152.1,140,3637330,33.5,2499,Bug Bite,Drill Run,Razor Shell*,14,12,3,50000
Galvantula (Shadow),77.1,596,bug,electric,181.5,120.2,157,3424193,50,2494,Volt Switch,Discharge,Lunge,3,3,3,50000
Sceptile (Shadow),77.1,254,grass,none,175.5,141.5,143,3551252,37,2496,Fury Cutter,Leaf Blade,Breaking Swipe,9,13,3,10000
Zekrom,77.1,644,dragon,electric,178.1,142.6,137,3477820,22.5,2493,Dragon Breath,Crunch,Wild Charge,12,12,20,100000
Emboar,77,500,fire,fighting,177,104.5,190,3513627,31.5,2496,Ember,Blast Burn*,Rock Slide,6,5,3,10000
Excadrill,77,530,ground,steel,184.5,101.8,180,3380431,28,2499,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Gurdurr,77,533,fighting,none,163.9,125.2,178,3651822,50,2452,Low Kick,Brick Break,Stone Edge,5,7,5,75000
Qwilfish (Hisuian),77,211,dark,poison,167.2,139.5,149,3475491,50,2415,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Crawdaunt (Shadow),76.9,342,water,dark,185.9,128,141,3354969,45,2497,Waterfall,Night Slash,Scald,4,5,3,50000
Heatran (Shadow),76.9,485,fire,steel,170.8,148.6,142,3603202,24,2480,Fire Spin,Magma Storm*,Earth Power,4,5,20,100000
Hypno (Shadow),76.9,97,psychic,none,133.6,174.8,178,4156705,50,2363,Confusion,Thunder Punch,Ice Punch,3,3,3,50000
Landorus (Therian),76.9,645,ground,flying,189,124.3,139,3265008,23,2484,Mud Shot,Sandsear Storm*,Stone Edge,5,7,20,100000
